Scenario,Hectares,Capital_per_Ha,Total_Capital_Investment,First_Year_Operating_Costs,Total_Upfront_Investment
Base,5602.240896358543,1180000,6610644257.703081,11400560224.089636,18011204481.792717
Optimistic,1338.6880856760374,1030000,1378848728.2463186,2998661311.914324,4377510040.160643
