Rank,State,Profit_per_Ha,Hectares_Needed,Total_Investment,Key_Advantage
2,Cross River,392253.3484848484,2549.3727558035803,7512275326.386347,High rainfall & infrastructure
3,Ondo,266059.4090909092,3758.5590504649754,11549710274.892464,Established industry & access
1,Edo,173775.96969696973,5754.535576718683,18409352201.467335,Established industry & access
