State,Scenario,Hectares,CapEx_total_NGN,NPV_NGN,IRR,Payback_simple_years,ROI_simple
Edo,base,202.36221243703292,485669309.84887904,5728535611.854805,0.947565897595468,0.485669309848879,2.0590141887103393
Edo,cons,422.6670657583069,1014400957.8199365,5199803963.883747,0.560043959540018,1.0144009578199364,0.9858034855853391
Edo,opt,139.13353704129707,333920488.899113,5880284432.804571,1.2345926986728526,0.333920488899113,2.99472489183534
Ondo,base,232.10606221739948,557054549.3217587,5657150372.381926,0.860019429136304,0.5570545493217588,1.795156329335339
Ondo,cons,505.16694433329906,1212400666.3999178,5001804255.303766,0.49152645762829356,1.2124006663999178,0.8248098402728392
Ondo,opt,157.7235628424029,378536550.821767,5835668370.881918,1.1298491746232728,0.37853655082176696,2.6417528183978396
Cross River,base,216.80278392232302,520326681.41357523,5693878240.29011,0.9025245029914156,0.5203266814135752,1.9218695402728394
Cross River,cons,456.62382071964413,1095897169.727146,5118307751.976538,0.5293645733801073,1.095897169727146,0.9124943723040893
Cross River,opt,148.70358799790475,356888611.1949714,5857316310.508714,1.177853217878944,0.3568886111949714,2.80199470824159
