State,Profit_per_ha_base,Hectares_needed_base,Investment_required_base,Payback_years_base
Edo,4941634.053,202.3622124,485669309.8,0.48566931
Ondo,4308375.19,232.1060622,557054549.3,0.557054549
Cross River,4612486.897,216.8027839,520326681.4,0.520326681
