Scenario,FFB_Yield_MT_per_Ha,Oil_Extraction_Rate,CPO_Price_Naira_per_MT,Kernel_Yield_Rate,Kernel_Price_Naira_per_MT,Source,CPO_MT_per_Ha,CPO_Revenue_Naira,Kernel_MT_per_Ha,Kernel_Revenue_Naira,Total_Revenue_per_Ha
Conservative,16,0.19,480000,0.06,180000,FAO Incentives Report (https://openknowledge.fao.org/),3.04,1459200,0.96,172800,1632000
Base,18.5,0.21,520000,0.065,200000,Okomu & Presco Company Reports (https://okomugroup.com/; https://presco-plc.com/),3.885,2020200,1.2025,240500,2260700
Optimistic,21,0.23,560000,0.07,220000,Analyst assumption based on 10% yield increase,4.83,2704800,1.47,323400,3028200
