Scenario,Revenue_per_Ha,Cost_per_Ha,Profit_per_Ha,Profit_Margin_Percent
Conservative,1632000,1834000,-202000,-12.37745098
Base,2260700,2082200,178500,7.895784492
Optimistic,3028200,2281200,747000,24.66811968
