State,Profit_per_ha_base,Hectares_needed_base,Investment_required_base,Payback_years_base
Edo,4941634.0529048145,202.36221243703292,485669309.84887904,0.485669309848879
Ondo,4308375.190404814,232.10606221739948,557054549.3217587,0.5570545493217588
Cross River,4612486.8966548145,216.80278392232302,520326681.41357523,0.5203266814135752
