Keyword,Bank Name Used,Rank Position,Competition,Competition Index,Search Volume,Bank Name,Year,Revenue_in billions,Source
lowest mortgage loan,firstbank,3,LOW,0,10,First Bank of Nigeria Limited,2024.0,"NGN 3,200.00",https://first-holdco.com/wp-content/uploads/2025/04/First-HoldCo-Plc_-FY-2024_-Results-Presentation_.pdf
lowest mortgage loan interest rate,firstbank,2,LOW,0,10,First Bank of Nigeria Limited,2024.0,"NGN 3,200.00",https://first-holdco.com/wp-content/uploads/2025/04/First-HoldCo-Plc_-FY-2024_-Results-Presentation_.pdf
lowest mortgage loan rates,stanbicibtc,2,LOW,0,10,Stanbic IBTC Bank Plc,2024.0,NGN 823.31,https://africanfinancials.com/document/ng-ibtc-2024-ar-00/
lowest mortgage rates,stanbicibtc,3,LOW,0,10,Stanbic IBTC Bank Plc,2024.0,NGN 823.31,https://africanfinancials.com/document/ng-ibtc-2024-ar-00/
lowest rate of interest,firstbank,4,LOW,4,10,First Bank of Nigeria Limited,2024.0,"NGN 3,200.00",https://first-holdco.com/wp-content/uploads/2025/04/First-HoldCo-Plc_-FY-2024_-Results-Presentation_.pdf
making a bank account online,firstbank,1,LOW,31,2400,First Bank of Nigeria Limited,2024.0,"NGN 3,200.00",https://first-holdco.com/wp-content/uploads/2025/04/First-HoldCo-Plc_-FY-2024_-Results-Presentation_.pdf
mortgage lenders with lowest interest rates,gtbank,6,LOW,0,10,Guaranty Trust Bank Limited,2024.0,NGN 467.85,https://gtbank-plc.files.svdcdn.com/production/financial-information/DECEMBER-2024-FULL-YEAR-INVESTOR-PRESENTATION_2025-04-01-051737_dnwl.pdf
mortgage loans best rates,firstbank,3,LOW,0,590,First Bank of Nigeria Limited,2024.0,"NGN 3,200.00",https://first-holdco.com/wp-content/uploads/2025/04/First-HoldCo-Plc_-FY-2024_-Results-Presentation_.pdf
online account opening,firstbank,1,LOW,31,170,First Bank of Nigeria Limited,2024.0,"NGN 3,200.00",https://first-holdco.com/wp-content/uploads/2025/04/First-HoldCo-Plc_-FY-2024_-Results-Presentation_.pdf
open a bank account online free,fcmb,1,LOW,31,170,First City Monument Bank Limited,2024.0,NGN 794.80,https://techpoint.africa/news/fcmb-groups-gross-earnings-soars-53-9-in-2024/
open a bank account with no deposit required,fcmb,1,LOW,29,40,First City Monument Bank Limited,2024.0,NGN 794.80,https://techpoint.africa/news/fcmb-groups-gross-earnings-soars-53-9-in-2024/
